source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:2000145,regulation of cell motility,1.7640282872860358e-18,True,"""Any process that modulates the frequency, rate or extent of cell motility."" [GOC:mah]",927,1896,184,19147,0.0970464135021097,0.19848975188781015,query_1,"['GO:0040012', 'GO:0048870', 'GO:0050794']"
GO:BP,GO:0050896,response to stimulus,5.373784593319851e-18,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus and ends with a change in state or activity or the cell or organism."" [GOC:ai, GOC:bf]",7291,1896,909,19147,0.47943037974683544,0.12467425593197093,query_1,['GO:0008150']
GO:BP,GO:0051716,cellular response to stimulus,5.8485816515106396e-18,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",6027,1896,777,19147,0.4098101265822785,0.1289198606271777,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0030334,regulation of cell migration,3.9426301587002674e-17,True,"""Any process that modulates the frequency, rate or extent of cell migration."" [GOC:go_curators]",882,1896,174,19147,0.09177215189873418,0.19727891156462585,query_1,"['GO:0016477', 'GO:2000145']"
GO:BP,GO:2000026,regulation of multicellular organismal development,7.012789890433178e-17,True,"""Any process that modulates the frequency, rate or extent of multicellular organismal development."" [GOC:obol]",1233,1896,221,19147,0.11656118143459916,0.1792376317923763,query_1,"['GO:0007275', 'GO:0050793', 'GO:0051239']"
GO:BP,GO:0007166,cell surface receptor signaling pathway,8.57232819911902e-17,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor located on the cell surface. The pathway ends with regulation of a downstream cellular process, e.g. transcription."" [GOC:signaling]",2470,1896,375,19147,0.19778481012658228,0.15182186234817813,query_1,['GO:0007165']
GO:BP,GO:0001539,cilium or flagellum-dependent cell motility,2.592618751165407e-16,True,"""Cell motility due to movement of eukaryotic cilia or bacterial-type flagella or archaeal-type flagella."" [GOC:cilia, GOC:hjd, GOC:krc]",165,1896,58,19147,0.03059071729957806,0.3515151515151515,query_1,['GO:0048870']
GO:BP,GO:0060285,cilium-dependent cell motility,2.592618751165407e-16,True,"""Cell motility due to the motion of one or more eukaryotic cilia. A eukaryotic cilium is a specialized organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole."" [GOC:cilia, GOC:dgh, GOC:dph, GOC:krc, GOC:mlg, GOC:mtg_cambridge_2013]",165,1896,58,19147,0.03059071729957806,0.3515151515151515,query_1,['GO:0001539']
GO:BP,GO:0060294,cilium movement involved in cell motility,4.759627772621751e-16,True,"""Movement of cilia mediated by motor proteins that contributes to the movement of a cell."" [GOC:BHF, GOC:dph, GOC:tb]",162,1896,57,19147,0.030063291139240507,0.35185185185185186,query_1,"['GO:0003341', 'GO:0060285']"
GO:BP,GO:0042127,regulation of cell population proliferation,5.14498145740403e-16,True,"""Any process that modulates the frequency, rate or extent of cell proliferation."" [GOC:jl]",1432,1896,244,19147,0.12869198312236288,0.17039106145251395,query_1,"['GO:0008283', 'GO:0050794']"
GO:BP,GO:0051240,positive regulation of multicellular organismal process,9.829021980703345e-16,True,"""Any process that activates or increases the frequency, rate or extent of an organismal process, any of the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",1463,1896,247,19147,0.13027426160337552,0.16883116883116883,query_1,"['GO:0032501', 'GO:0048518', 'GO:0051239']"
GO:BP,GO:0048583,regulation of response to stimulus,1.5468775281565366e-15,True,"""Any process that modulates the frequency, rate or extent of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",3608,1896,501,19147,0.26424050632911394,0.1388580931263858,query_1,"['GO:0050789', 'GO:0050896']"
GO:BP,GO:0050793,regulation of developmental process,5.137010087335497e-15,True,"""Any process that modulates the frequency, rate or extent of development, the biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:go_curators]",2139,1896,328,19147,0.1729957805907173,0.1533426834969612,query_1,"['GO:0032502', 'GO:0050789']"
GO:BP,GO:0009719,response to endogenous stimulus,8.48562490344242e-15,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:sm]",1278,1896,220,19147,0.1160337552742616,0.17214397496087636,query_1,['GO:0050896']
GO:BP,GO:0035082,axoneme assembly,4.2371357175050496e-14,True,"""The assembly and organization of an axoneme, the bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements."" [GOC:bf, GOC:cilia, GOC:jl, ISBN:0815316194]",91,1896,39,19147,0.020569620253164556,0.42857142857142855,query_1,"['GO:0001578', 'GO:0022607', 'GO:0060271']"
GO:BP,GO:0042221,response to chemical,7.018772157376026e-14,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:jl]",2956,1896,419,19147,0.2209915611814346,0.14174560216508797,query_1,['GO:0050896']
GO:BP,GO:0008283,cell population proliferation,7.230276858017192e-14,True,"""The multiplication or reproduction of cells, resulting in the expansion of a cell population."" [GOC:mah, GOC:mb]",1725,1896,273,19147,0.1439873417721519,0.1582608695652174,query_1,['GO:0009987']
GO:BP,GO:0009605,response to external stimulus,1.0582763577283182e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an external stimulus."" [GOC:hb]",2018,1896,308,19147,0.16244725738396623,0.15262636273538158,query_1,['GO:0050896']
GO:BP,GO:0033993,response to lipid,1.4136598414296633e-13,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",761,1896,147,19147,0.07753164556962025,0.19316688567674112,query_1,['GO:0042221']
GO:BP,GO:0007186,G protein-coupled receptor signaling pathway,5.137620286687752e-13,True,"""The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."" [GOC:bf, GOC:mah, PMID:16902576, PMID:24568158, Wikipedia:G_protein-coupled_receptor]",644,1896,129,19147,0.0680379746835443,0.20031055900621117,query_1,['GO:0007165']
GO:BP,GO:0006954,inflammatory response,5.468095327817307e-13,True,"""The immediate defensive reaction (by vertebrate tissue) to infection or injury caused by chemical or physical agents. The process is characterized by local vasodilation, extravasation of plasma into intercellular spaces and accumulation of white blood cells and macrophages."" [GO_REF:0000022, ISBN:0198506732]",766,1896,146,19147,0.0770042194092827,0.1906005221932115,query_1,['GO:0006952']
GO:BP,GO:0001578,microtubule bundle formation,6.634623638220074e-13,True,"""A process that results in a parallel arrangement of microtubules."" [GOC:dph]",121,1896,44,19147,0.023206751054852322,0.36363636363636365,query_1,['GO:0000226']
GO:BP,GO:0009888,tissue development,1.1196847948229927e-12,True,"""The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure."" [ISBN:0471245208]",1715,1896,267,19147,0.14082278481012658,0.15568513119533528,query_1,['GO:0048856']
GO:BP,GO:0051094,positive regulation of developmental process,1.7678703549750372e-12,True,"""Any process that activates or increases the rate or extent of development, the biological process whose specific outcome is the progression of an organism over time from an initial condition (e.g. a zygote, or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:ai]",1162,1896,197,19147,0.10390295358649788,0.16953528399311532,query_1,"['GO:0032502', 'GO:0048518', 'GO:0050793']"
GO:BP,GO:1901342,regulation of vasculature development,1.7990174033697967e-12,True,"""Any process that modulates the frequency, rate or extent of vasculature development."" [GOC:TermGenie]",278,1896,72,19147,0.0379746835443038,0.2589928057553957,query_1,"['GO:0001944', 'GO:2000026']"
GO:BP,GO:0071495,cellular response to endogenous stimulus,2.0316276990340907e-12,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",1079,1896,186,19147,0.0981012658227848,0.17238183503243745,query_1,['GO:0009719']
GO:BP,GO:0030317,flagellated sperm motility,2.2840066346089785e-12,True,"""The directed, self-propelled movement of a cilium (aka flagellum) that contributes to the movement of a flagellated sperm."" [GO_REF:0000060, GOC:cilia, GOC:krc, GOC:TermGenie, PMID:26680031]",145,1896,48,19147,0.02531645569620253,0.3310344827586207,query_1,"['GO:0060285', 'GO:0060294', 'GO:0097722']"
GO:BP,GO:0097722,sperm motility,2.2840066346089785e-12,True,"""Any process involved in the controlled movement of a sperm cell."" [GOC:cilia, GOC:krc]",145,1896,48,19147,0.02531645569620253,0.3310344827586207,query_1,"['GO:0022414', 'GO:0048870']"
GO:BP,GO:0048468,cell development,3.1470561214386634e-12,True,"""The cellular developmental process in which a specific cell progresses from an immature to a mature state. Cell development start once cell commitment has taken place."" [GOC:go_curators]",2429,1896,350,19147,0.18459915611814345,0.1440922190201729,query_1,"['GO:0030154', 'GO:0048856', 'GO:0048869']"
GO:BP,GO:0045765,regulation of angiogenesis,4.4440737206543976e-12,True,"""Any process that modulates the frequency, rate or extent of angiogenesis."" [GOC:go_curators]",271,1896,70,19147,0.03691983122362869,0.25830258302583026,query_1,"['GO:0001525', 'GO:0022603', 'GO:1901342']"
GO:BP,GO:0003013,circulatory system process,5.104298629380692e-12,True,"""An organ system process carried out by any of the organs or tissues of the circulatory system. The circulatory system is an organ system that moves extracellular fluids to and from tissue within a multicellular organism."" [GOC:mtg_cardio]",504,1896,106,19147,0.05590717299578059,0.21031746031746032,query_1,['GO:0003008']
GO:BP,GO:0009611,response to wounding,8.95361962998058e-12,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]",522,1896,108,19147,0.056962025316455694,0.20689655172413793,query_1,['GO:0006950']
GO:BP,GO:0007188,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,1.0766393542492014e-11,True,"""A G protein-coupled receptor signaling pathway in which the signal is transmitted via the activation or inhibition of adenylyl cyclase activity and a subsequent change in the intracellular concentration of cyclic AMP (cAMP)."" [GOC:mah, GOC:signaling, ISBN:0815316194]",194,1896,56,19147,0.029535864978902954,0.28865979381443296,query_1,['GO:0007186']
GO:BP,GO:0098609,cell-cell adhesion,1.1614807240275705e-11,True,"""The attachment of one cell to another cell via adhesion molecules."" [GOC:dos]",871,1896,156,19147,0.08227848101265822,0.1791044776119403,query_1,['GO:0007155']
GO:BP,GO:0051241,negative regulation of multicellular organismal process,1.55023136692931e-11,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of an organismal process, the processes pertinent to the function of an organism above the cellular level; includes the integrated processes of tissues and organs."" [GOC:ai]",965,1896,168,19147,0.08860759493670886,0.17409326424870467,query_1,"['GO:0032501', 'GO:0048519', 'GO:0051239']"
GO:BP,GO:0042060,wound healing,2.2780376915325933e-11,True,"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]",401,1896,89,19147,0.0469409282700422,0.22194513715710723,query_1,['GO:0009611']
GO:BP,GO:0006935,chemotaxis,4.0202601117015855e-11,True,"""The directed movement of a motile cell or organism, or the directed growth of a cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis)."" [ISBN:0198506732]",405,1896,89,19147,0.0469409282700422,0.21975308641975308,query_1,"['GO:0042221', 'GO:0042330']"
GO:BP,GO:0042330,taxis,4.0202601117015855e-11,True,"""The directed movement of a motile cell or organism in response to an external stimulus."" [GOC:jl, ISBN:0192801023]",405,1896,89,19147,0.0469409282700422,0.21975308641975308,query_1,"['GO:0009605', 'GO:0040011']"
GO:BP,GO:0050878,regulation of body fluid levels,4.649391632836965e-11,True,"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]",328,1896,77,19147,0.04061181434599156,0.2347560975609756,query_1,['GO:0065008']
GO:BP,GO:0061061,muscle structure development,5.8115360331925025e-11,True,"""The progression of a muscle structure over time, from its formation to its mature state. Muscle structures are contractile cells, tissues or organs that are found in multicellular organisms."" [GOC:dph]",594,1896,116,19147,0.06118143459915612,0.19528619528619529,query_1,['GO:0048856']
GO:BP,GO:0070887,cellular response to chemical stimulus,5.847721110788471e-11,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a chemical stimulus."" [GOC:mah]",1869,1896,278,19147,0.14662447257383968,0.1487426431246656,query_1,"['GO:0042221', 'GO:0051716']"
GO:BP,GO:0006952,defense response,6.18954318759078e-11,True,"""Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."" [GOC:go_curators]",1555,1896,240,19147,0.12658227848101267,0.15434083601286175,query_1,['GO:0006950']
GO:BP,GO:0034097,response to cytokine,9.71557864860437e-11,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cytokine stimulus."" [GOC:sl]",872,1896,153,19147,0.08069620253164557,0.17545871559633028,query_1,['GO:1901652']
GO:BP,GO:0071363,cellular response to growth factor stimulus,9.71557864860437e-11,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus."" [GOC:mah]",642,1896,122,19147,0.06434599156118144,0.19003115264797507,query_1,"['GO:0070848', 'GO:0071495']"
GO:BP,GO:0008285,negative regulation of cell population proliferation,1.0021561618990811e-10,True,"""Any process that stops, prevents or reduces the rate or extent of cell proliferation."" [GOC:go_curators]",628,1896,120,19147,0.06329113924050633,0.1910828025477707,query_1,"['GO:0008283', 'GO:0042127', 'GO:0048523']"
GO:BP,GO:0070286,axonemal dynein complex assembly,1.0404544008691341e-10,True,"""The aggregation, arrangement and bonding together of a set of components to form an axonemal dynein complex, a dynein complex found in eukaryotic cilia and flagella, in which the motor domain heads interact with adjacent microtubules to generate a sliding force which is converted to a bending motion."" [GOC:cilia, GOC:mah, PMID:19052621]",36,1896,21,19147,0.011075949367088608,0.5833333333333334,query_1,"['GO:0035082', 'GO:0065003']"
GO:BP,GO:0044057,regulation of system process,1.303993792501247e-10,True,"""Any process that modulates the frequency, rate or extent of a system process, a multicellular organismal process carried out by any of the organs or tissues in an organ system."" [GOC:jl]",441,1896,93,19147,0.0490506329113924,0.2108843537414966,query_1,"['GO:0003008', 'GO:0051239']"
GO:BP,GO:1901652,response to peptide,1.368794945807832e-10,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a peptide stimulus."" [GOC:pr, GOC:TermGenie]",884,1896,154,19147,0.08122362869198312,0.17420814479638008,query_1,['GO:0042221']
GO:BP,GO:0048584,positive regulation of response to stimulus,1.368794945807832e-10,True,"""Any process that activates, maintains or increases the rate of a response to a stimulus. Response to stimulus is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus."" [GOC:jid]",2113,1896,305,19147,0.1608649789029536,0.14434453383814483,query_1,"['GO:0048518', 'GO:0048583', 'GO:0050896']"
GO:BP,GO:0040017,positive regulation of locomotion,1.6012300651180922e-10,True,"""Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism."" [GOC:go_curators]",554,1896,109,19147,0.05748945147679325,0.1967509025270758,query_1,"['GO:0040011', 'GO:0040012', 'GO:0048518']"
GO:BP,GO:2000147,positive regulation of cell motility,1.606652892926266e-10,True,"""Any process that activates or increases the frequency, rate or extent of cell motility."" [GOC:mah]",540,1896,107,19147,0.05643459915611814,0.19814814814814816,query_1,"['GO:0040017', 'GO:0048522', 'GO:0048870', 'GO:2000145']"
GO:BP,GO:0007018,microtubule-based movement,2.1530732730067267e-10,True,"""A microtubule-based process that results in the movement of organelles, other microtubules, or other cellular components. Examples include motor-driven movement along microtubules and movement driven by polymerization or depolymerization of microtubules."" [GOC:cjm, ISBN:0815316194]",418,1896,89,19147,0.0469409282700422,0.21291866028708134,query_1,['GO:0007017']
GO:BP,GO:0141124,intracellular signaling cassette,2.2282232362992553e-10,True,"""An intracellular signaling module that is part of larger signaling pathways that can be initiated either intracellularly or by cell surface receptors. Intracellular signaling cassettes are discrete signaling units that are often shared by multiple signaling pathways."" [GOC:ha, GOC:pg]",1717,1896,257,19147,0.13554852320675106,0.1496796738497379,query_1,['GO:0035556']
GO:BP,GO:0007167,enzyme-linked receptor protein signaling pathway,2.2282232362992553e-10,True,"""The series of molecular signals initiated by an extracellular ligand binding to a receptor on the surface of the target cell, where the receptor possesses catalytic activity or is closely associated with an enzyme such as a protein kinase, and ending with the regulation of a downstream cellular process, e.g. transcription."" [GOC:mah, GOC:signaling, ISBN:0815316194]",890,1896,154,19147,0.08122362869198312,0.17303370786516853,query_1,['GO:0007166']
GO:BP,GO:0030335,positive regulation of cell migration,2.2366538810949774e-10,True,"""Any process that activates or increases the frequency, rate or extent of cell migration."" [GOC:go_curators]",522,1896,104,19147,0.05485232067510549,0.19923371647509577,query_1,"['GO:0016477', 'GO:0030334', 'GO:2000147']"
